"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"172","July 2022",3049000058,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,689,689,0,0,"--","--","--","--","--","--","--","--",0,160,0,640,320,480,0,"--",186,332,169,2,317,332,9,0,"n/a",8,20,3,17,672,0,433,256,0,0,257,401,31,657,229,633,364,36,0,9,3,20
"173","July 2022",3049000066,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,296,296,0,0,"--","--","--","--","--","--","--","--",160,0,0,160,160,160,0,"--",60,137,99,0,124,165,0,2,"n/a",1,2,2,2,293,1,162,134,0,0,88,196,12,217,76,203,113,38,0,4,7,25
"174","July 2022",3049025340,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,171,171,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",70,89,12,0,114,48,0,0,"n/a",0,9,0,8,163,0,140,31,0,0,98,65,8,168,63,150,99,6,0,2,1,1
"175","July 2022",3019075490,NA,2,"Medical Group","Primary Adult","TOTAL: 36","Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,473,473,0,0,"--","--","--","--","--","--","--","--",160,272,128,576,320,640,0,"--",113,226,128,6,133,281,21,0,"n/a",0,38,0,32,440,1,243,230,0,0,279,188,6,438,133,448,215,43,0,3,3,36
"176","July 2022",3019020300,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,921,915,6,0,"--","--","--","--","--","--","--","--",320,256,0,480,496,160,0,"--",148,345,396,31,338,505,16,0,"n/a",3,54,4,34,880,6,652,268,0,0,402,503,16,768,219,864,418,231,0,11,22,190
"177","July 2022",3019073200,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,428,428,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,96,160,0,"--",37,150,229,12,35,368,7,1,"n/a",2,14,1,7,417,4,265,163,0,0,179,242,7,406,97,401,158,94,0,3,7,80
"178","July 2022",3019073510,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2416,2416,0,0,"--","--","--","--","--","--","--","--",160,144,144,1376,1120,960,0,"--",249,833,1251,82,373,1928,37,2,"n/a",7,60,8,64,2338,13,1353,1062,0,0,966,1422,28,2181,546,2127,819,342,0,24,28,273
"179","July 2022",3019074460,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2841,2841,0,0,"--","--","--","--","--","--","--","--",480,320,0,2384,1520,960,0,"--",327,1383,1103,28,1042,1639,42,2,"n/a",8,95,13,77,2747,17,1756,1085,0,0,1414,1391,36,2546,743,2690,1432,561,0,24,58,456
"180","July 2022",3019074550,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,345,345,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,336,320,0,"--",59,153,126,5,209,90,10,1,"n/a",2,29,2,28,310,5,235,108,0,0,175,166,4,342,62,338,163,117,0,2,16,91
"181","July 2022",3019075400,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,497,497,0,0,"--","--","--","--","--","--","--","--",0,0,0,480,480,160,0,"--",128,228,135,5,80,306,43,0,"n/a",3,54,10,36,454,6,264,232,0,0,337,151,9,460,78,479,187,132,0,5,8,117
"182","July 2022",3019087160,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1682,1681,1,0,"--","--","--","--","--","--","--","--",160,128,0,1184,1216,800,0,"--",310,841,504,27,275,1216,58,3,"n/a",6,105,19,100,1556,26,1087,595,0,0,1064,588,30,1602,309,1593,713,1,0,0,0,0
"183","July 2022",3039024947,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,325,325,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,160,0,0,"--",29,144,146,6,188,131,1,0,"n/a",0,3,2,7,318,0,167,158,0,0,107,211,7,312,133,301,141,127,0,10,23,80
"184","July 2022",3049000061,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",34,118,93,8,142,107,2,0,"n/a",0,2,0,4,246,3,202,51,0,0,84,167,4,216,67,214,116,27,0,0,4,20
"185","August 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1577,1577,0,0,"--","--","--","--","--","--","--","--",240,0,160,640,550,640,0,"--",516,727,326,8,700,603,81,0,"n/a",8,161,24,144,1402,31,903,674,0,0,1083,460,34,1458,362,1452,600,16,0,1,1,13
"186","August 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,940,937,3,0,"--","--","--","--","--","--","--","--",160,480,0,640,160,160,0,"--",95,431,405,9,87,801,8,1,"n/a",2,36,5,30,903,7,519,421,0,0,443,481,16,813,240,919,433,0,0,0,0,0
"187","August 2022",3019024893,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1253,1230,23,0,"--","--","--","--","--","--","--","--",320,96,0,800,624,160,0,"--",264,619,362,8,59,1089,22,2,"n/a",2,75,4,71,1173,9,637,616,0,0,785,431,37,1146,251,1164,427,37,0,6,8,21
"188","August 2022",3019024897,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,584,584,0,0,"--","--","--","--","--","--","--","--",0,176,0,320,160,160,0,"--",85,242,250,7,57,475,8,0,"n/a",2,40,2,34,545,5,305,279,0,0,299,276,9,560,97,545,222,112,0,6,8,96
"189","August 2022",3019024901,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,558,555,3,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",188,267,100,3,70,420,7,1,"n/a",2,51,7,36,510,12,350,208,0,0,360,189,9,548,190,543,281,14,0,3,1,10
"190","August 2022",3019073000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,504,504,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",25,201,270,8,28,464,1,0,"n/a",0,8,3,7,489,8,267,237,0,0,212,290,2,385,44,356,127,206,0,2,11,190
"191","August 2022",3019073690,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1387,1364,23,0,"--","--","--","--","--","--","--","--",320,784,160,1760,960,800,0,"--",107,499,758,23,86,1256,9,2,"n/a",3,26,5,29,1354,4,809,578,0,0,523,846,18,1151,248,1221,613,200,0,10,36,146
"192","August 2022",3019073940,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1467,1464,3,0,"--","--","--","--","--","--","--","--",160,496,0,960,640,480,0,"--",216,774,459,16,520,827,11,0,"n/a",4,87,16,63,1386,16,921,544,0,0,837,600,30,1153,281,1407,718,284,0,10,36,227
"193","August 2022",3019074770,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1464,1464,0,0,"--","--","--","--","--","--","--","--",0,320,0,816,496,320,0,"--",294,666,483,21,641,638,68,2,"n/a",4,93,18,51,1396,17,950,514,0,0,837,613,14,1338,413,1357,645,472,1,11,46,392
"194","August 2022",3019074880,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,265,265,0,0,"--","--","--","--","--","--","--","--",0,0,0,240,160,160,0,"--",47,134,78,6,114,97,10,0,"n/a",1,41,2,47,217,1,190,75,0,0,130,128,7,256,62,261,139,61,1,1,2,57
"195","August 2022",3019078330,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,653,652,1,0,"--","--","--","--","--","--","--","--",160,16,0,608,320,0,0,"--",146,313,185,9,163,431,7,0,"n/a",2,39,11,22,616,15,397,256,0,0,399,247,7,632,114,630,268,105,0,3,7,93
"196","August 2022",3019083900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1832,1831,1,0,"--","--","--","--","--","--","--","--",496,0,160,1376,1360,160,0,"--",361,770,682,19,251,1201,198,1,"n/a",7,135,39,78,1708,46,1052,780,0,0,1044,751,37,1571,460,1635,515,467,1,8,29,420
"197","August 2022",3019083950,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,1577,1577,0,0,"--","--","--","--","--","--","--","--",0,128,0,480,288,320,0,"--",172,387,187,1,136,546,4,1,"n/a",1,48,11,47,692,8,502,245,0,0,468,269,10,705,141,715,332,119,0,2,14,97
"198","August 2022",3019084000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,2198,2198,0,0,"--","--","--","--","--","--","--","--",160,64,160,480,320,320,0,"--",323,1059,783,33,265,1730,40,2,"n/a",16,118,27,106,2061,31,1216,982,0,0,1212,963,23,2111,461,2033,912,0,0,0,0,0
"199","August 2022",3019086630,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,587,587,0,0,"--","--","--","--","--","--","--","--",0,0,0,176,368,160,0,"--",254,250,81,2,311,165,19,0,"n/a",2,82,8,26,549,12,391,196,0,0,443,138,6,526,92,550,251,26,0,1,2,17
"200","August 2022",3019090090,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,464,458,6,0,"--","--","--","--","--","--","--","--",160,0,0,320,240,0,0,"--",76,194,190,4,29,410,2,1,"n/a",2,18,2,31,432,1,313,151,0,0,229,229,6,434,113,445,199,0,0,0,0,0
"201","August 2022",3019091030,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,343,343,0,0,"--","--","--","--","--","--","--","--",160,0,0,160,160,0,0,"--",53,183,106,1,36,273,6,0,"n/a",1,21,6,28,310,5,180,163,0,0,198,138,7,341,35,341,164,37,0,6,9,22
"202","August 2022",3019091900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,389,389,0,0,"--","--","--","--","--","--","--","--",160,0,0,480,176,0,0,"--",50,140,108,1,57,219,1,1,"n/a",0,20,1,15,283,1,193,106,0,0,176,122,1,284,51,293,120,0,0,0,0,0
"203","August 2022",3019097350,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site","No","No","N/A","No","N/A",779,779,0,0,"--","--","--","--","--","--","--","--",160,640,0,1120,480,800,0,"--",229,449,100,1,74,630,16,0,"n/a",1,55,3,40,735,4,423,356,0,0,614,140,25,740,103,761,320,0,0,0,0,0
"204","August 2022",3039000021,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,35,35,0,0,"--","--","--","--","--","--","--","--",160,0,0,1280,1296,0,160,"--",12,22,1,0,18,16,0,0,"n/a",0,1,0,1,34,0,30,5,0,0,18,11,6,0,0,0,0,0,0,0,0,0
"205","August 2022",3039000022,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,422,422,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",135,170,112,5,398,10,2,0,"n/a",2,10,0,6,414,2,314,108,0,0,214,202,6,403,144,398,216,172,0,9,14,139
"206","August 2022",3039000049,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,443,443,0,0,"--","--","--","--","--","--","--","--",160,160,0,160,160,160,0,"--",286,126,30,1,174,191,27,0,"n/a",0,29,22,25,399,19,308,134,1,0,362,73,8,336,97,343,137,159,0,3,5,148
"207","August 2022",3039000057,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1344,1344,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,1440,0,0,"--",269,650,379,10,1019,229,17,0,"n/a",1,39,3,34,1270,4,744,564,0,0,380,758,206,388,165,393,185,689,19,55,52,490
"208","August 2022",3039000112,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,560,560,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,320,160,0,"--",176,250,132,2,133,175,176,1,"n/a",2,46,27,59,466,35,349,211,0,0,409,143,8,535,113,524,160,91,0,4,5,79
"209","August 2022",3039000124,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,309,308,1,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",177,104,25,3,76,130,44,0,"n/a",0,34,25,26,265,18,223,86,0,0,258,45,6,252,54,300,120,56,0,2,1,52
"210","August 2022",3039000134,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,527,527,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,304,160,0,"--",135,216,168,8,113,294,33,0,"n/a",0,81,6,40,477,10,347,180,0,0,300,200,27,499,131,500,192,151,0,2,12,135
"211","August 2022",3039000166,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,311,311,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",89,136,80,6,284,17,0,1,"n/a",0,9,0,9,302,0,184,127,0,0,142,164,5,295,88,307,156,49,0,6,9,25
"212","August 2022",3039000181,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,301,301,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",101,113,82,5,41,193,33,1,"n/a",2,29,2,21,276,4,120,181,0,0,192,102,7,296,23,297,77,0,0,0,0,0
"213","August 2022",3039024730,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,1131,1128,3,0,"--","--","--","--","--","--","--","--",160,160,160,784,480,160,0,"--",329,489,304,9,148,700,59,0,"n/a",3,170,51,92,979,60,576,555,0,0,727,379,25,926,302,939,318,0,0,0,0,0
"214","August 2022",3039024764,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,504,504,0,0,"--","--","--","--","--","--","--","--",0,160,0,160,160,0,0,"--",286,119,19,2,247,115,14,2,"n/a",1,18,29,17,377,32,239,187,0,0,360,56,10,406,82,409,149,7,0,0,2,5
"215","August 2022",3049000033,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,389,389,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",38,157,185,8,160,213,0,0,"n/a",1,3,11,2,385,1,232,156,0,0,116,256,17,332,141,297,150,75,0,4,14,49
"216","August 2022",3049000048,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,371,371,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",96,173,98,4,159,197,0,0,"n/a",0,10,5,7,363,1,217,154,0,0,179,182,10,302,83,302,177,33,0,0,6,26
"217","August 2022",3049000051,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,236,236,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,640,0,"--",22,66,139,9,61,161,0,0,"n/a",2,4,8,3,232,1,138,98,0,0,52,178,6,209,84,181,75,37,0,1,4,31
"218","August 2022",3049000058,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,951,951,0,0,"--","--","--","--","--","--","--","--",0,320,0,640,320,480,0,"--",301,458,187,5,480,400,33,0,"n/a",7,24,7,19,929,3,610,341,0,0,388,525,38,906,356,869,495,66,0,7,9,32
"219","August 2022",3049000066,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,363,363,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",90,187,85,1,141,212,0,1,"n/a",1,3,5,1,362,0,235,128,0,0,119,234,10,265,66,232,133,34,0,2,8,23
"220","August 2022",3049025340,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,203,203,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",93,91,19,0,138,58,1,1,"n/a",1,4,0,6,196,1,169,34,0,50,105,85,13,193,70,172,112,2,0,0,0,2
"221","August 2022",3019075490,NA,2,"Medical Group","Primary Adult","TOTAL: 36","Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,512,512,0,0,"--","--","--","--","--","--","--","--",160,368,128,640,320,640,0,"--",119,241,144,8,127,312,26,0,"n/a",2,39,6,36,472,4,234,278,0,0,310,193,9,485,139,486,244,43,0,4,5,32
"222","August 2022",3019020300,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,1198,1194,4,0,"--","--","--","--","--","--","--","--",160,256,0,480,496,160,0,"--",188,454,518,40,488,612,16,1,"n/a",5,67,11,38,1143,19,848,352,0,0,528,656,14,995,279,1133,538,286,0,18,28,224
"223","August 2022",3019073200,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,565,565,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,416,160,0,"--",50,202,301,12,58,471,8,0,"n/a",0,26,2,17,540,8,355,210,0,0,237,321,7,538,141,530,209,166,0,5,22,138
"224","August 2022",3019073510,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2559,2559,0,0,"--","--","--","--","--","--","--","--",160,304,144,1376,1120,800,0,"--",277,875,1318,88,369,2037,44,2,"n/a",1,92,13,66,2479,13,1482,1076,0,0,955,1563,41,2324,571,2258,816,380,0,17,43,304
"225","August 2022",3019074460,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,3406,3406,0,0,"--","--","--","--","--","--","--","--",320,320,0,2064,1520,960,0,"--",332,1635,1403,36,1213,1969,57,4,"n/a",10,143,10,114,3261,31,2131,1275,0,0,1638,1726,42,3042,939,3239,1728,685,0,34,83,548
"226","August 2022",3019074550,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 3 sites",NA,NA,NA,NA,NA,545,544,1,0,"--","--","--","--","--","--","--","--",0,0,0,160,336,320,0,"--",92,266,179,8,292,157,25,0,"n/a",1,64,6,56,484,5,329,216,0,0,299,234,12,529,134,527,255,147,1,5,6,128
"227","August 2022",3019075400,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 2 sites",NA,NA,NA,NA,NA,786,786,0,0,"--","--","--","--","--","--","--","--",0,0,0,480,480,160,0,"--",167,376,239,4,124,493,83,0,"n/a",5,73,8,58,722,6,395,391,0,0,520,253,13,741,157,761,258,189,0,1,12,169
"228","August 2022",3019087160,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,2452,2452,0,0,"--","--","--","--","--","--","--","--",160,128,0,1344,1216,800,0,"--",443,1220,756,33,480,1733,68,3,"n/a",8,142,18,114,2313,25,1516,936,0,0,1537,870,45,2349,437,2337,966,0,0,0,0,0
"229","August 2022",3039024947,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,368,368,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,320,160,0,"--",40,167,154,7,230,126,0,0,"n/a",4,8,0,4,364,0,217,151,0,0,135,227,6,341,154,330,174,112,0,7,17,78
"230","August 2022",3049000061,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",90,182,133,2,195,200,2,1,"n/a",0,9,0,6,399,2,314,93,0,0,161,243,10,353,113,344,187,39,0,0,0,26
"231","September 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1292,1292,0,0,"--","--","--","--","--","--","--","--",240,0,160,800,550,640,0,"--",376,623,282,11,585,505,62,2,"n/a",3,125,10,106,1166,20,824,468,0,0,853,418,21,1213,320,1173,492,6,0,1,0,5
"232","September 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,827,813,14,0,"--","--","--","--","--","--","--","--",160,480,0,640,160,160,0,"--",76,412,328,12,74,712,4,1,"n/a",4,28,5,31,795,2,463,365,0,0,413,399,15,698,194,796,374,0,0,0,0,0
